# name,mass,star_name,ra,dec
HD 210277 b,"1,23",HD 210277,"332,3708333","-7,5422222"
HIP 109384 b,"1,56",HIP 109384,"332,1333","71,3144"
2M 2206-20 b,30,2M 2206-20,"331,5958333","-20,785"
K2-66 b,"0,067",K2-66,"331,526700002","-10,7115500232"
WASP-47 b,"1,13",WASP-47,"331,2041667","-12,0188889"
WASP-47 c,"1,31",WASP-47,"331,2041667","-12,0188889"
WASP-47 d,"0,0428",WASP-47,"331,2041667","-12,0188889"
WASP-47 e,"0,029",WASP-47,"331,2041667","-12,0188889"
V391 Peg b,"3,2",V391 Peg,"331,05","26,4188889"
HD 209458 b,"0,69",HD 209458,"330,7916667","18,8844444"
HD 13808 b,"0,0325",HD 13808,"33,1791667","-53,7438889"
HD 13808 c,"0,036",HD 13808,"33,1791667","-53,7438889"
HAT-P-29 b,"0,778",HAT-P-29,"33,1291667","51,7788889"
HD 208897 b,"1,4",HD 208897,"329,748714103","19,0203037532"
HD 208487 b,"0,413",HD 208487,"329,3291667","-37,7636111"
HD 208527 b,"9,9",HD 208527,"329,1","21,24"
WASP-111 b,"1,85",WASP-111,"328,766666668","-22,612500022"
HD 207832 b,"0,56",HD 207832,"328,15","-26,0267"
HD 207832 c,"0,73",HD 207832,"328,15","-26,0267"
WASP-114 b,"1,769",WASP-114,"327,66666668","10,463055575"
HIP 107773 b,"1,98",HIP 107773,"327,5","-64,712500024"
CFBDSIR J2149-0403,21,CFBDSIR J2149-0403,"327,446666682","-4,0524722252"
HD 206893 b,"22,5",HD 206893,"326,341666674","-12,783333349"
HN Peg b,16,HN Peg,"326,1291667","14,7719444"
HD 206610 b,"2,2",HD 206610,"325,8541667","-7,4083333"
2M 2140+16 b,20,2M 2140+16,"325,1208333","16,4216667"
HAT-P-17 b,"0,534",HAT-P-17,"324,5375","30,4886111"
HAT-P-17 c,"1,4",HAT-P-17,"324,5375","30,4886111"
HD 205739 b,"1,37",HD 205739,"324,5333333","-31,7375"
GJ 832 b,"0,689047604065",GJ 832,"323,3916667","-49,0088889"
GJ 832 c,"0,015731680458107",GJ 832,"323,3916667","-49,0088889"
HD 204941 b,"0,266",HD 204941,"323,1","-20,9575"
HD 204313 b,"4,28",HD 204313,"322,05","-21,7263889"
HD 204313 c,"0,0553",HD 204313,"322,05","-21,7263889"
HD 204313 d,"1,68",HD 204313,"322,05","-21,7263889"
HIP 105854 b,"8,2",HIP 105854,"321,595833341","-37,829444471"
2M J2126-81 b,"13,3",TYC 9486-927-1,"321,366666676","-81,64111113"
GJ 86 A b,"4,01",GJ 86,"32,6080593836","-50,8237272164"
HD 13189 b,14,HD 13189,"32,4166667","32,3163889"
GJ 3138 b,"0,0132",GJ 3138,"32,2954166703","-16,339583345"
GJ 3138 c,"0,0056",GJ 3138,"32,2954166703","-16,339583345"
GJ 3138 d,"0,033",GJ 3138,"32,2954166703","-16,339583345"
WASP-73 b,"1,88",WASP-73,"319,950000016","-57,851111096"
HD 202206 B,"93,6",HD 202206,"318,7375","-20,7891667"
